,names,n
147,"('ABARZUA', 'QUEVEDO')",3
148,"('ABARZUA', 'QUIJADA')",1
149,"('ABARZUA', 'RUIZ')",1
150,"('ABARZUA', 'VALENCIA')",2
151,"('ABATTE', 'BERRIOS')",1
152,"('ABAYAY', 'MONTOYA')",1
153,"('ABAZOLA', 'CASTILLO')",1
154,"('ABD EL KADER', 'ESPINOZA')",1
155,"('ABDALA', 'ABURTO')",1
156,"('ABDALA', 'UGARTE')",3
157,"('ABDE', 'CARVAJAL')",2
158,"('ABELLA', 'BURGOS')",1
159,"('ABELLA', 'PEREZ')",1
160,"('ABELLO', 'GUERRA')",1
161,"('ABELLO', 'IBACETA')",1
162,"('ABELLO', 'QUEZADA')",1
163,"('ABETT DE LA TOR', 'RE CONTRERAS')",1
164,"('ABOAL', 'ANDRADE')",1
165,"('ABREU', 'ABREU')",1
166,"('ABRIGO', 'ALVAREZ')",1
167,"('ABRIGO', 'CACERES')",1
168,"('ABRIGO', 'JERIA')",1
169,"('ABRIGO', 'NUNEZ')",1
170,"('ABRIGO', 'OLGUIN')",1
171,"('ABRIL', 'LASCANO')",1
172,"('ABUFOM', 'CORTES')",1
173,"('ABUHADBA', 'ABUHADBA')",1
174,"('ABURTO', 'DURAN')",1
175,"('ABURTO', 'FARFAN')",1
176,"('ABURTO', 'FEBRES')",1
177,"('ABURTO', 'FIGUEROA')",1
178,"('ABURTO', 'LENIZ')",1
179,"('ABURTO', 'LEON')",1
180,"('ABURTO', 'LOPEZ')",1
181,"('ABURTO', 'MARTEL')",1
182,"('ABURTO', 'MOYA')",3
183,"('ABURTO', 'PENA')",1
184,"('ABURTO', 'VALENCIA')",1
185,"('ABUYERES', 'JADUE')",1
186,"('ABUYERES', 'REYES')",1
187,"('ACCATTINI', 'ZAGAL')",1
188,"('ACEBAL', 'LEIVA')",1
189,"('ACEITON', 'ALARCON')",1
190,"('ACEITON', 'ARANCIBIA')",1
191,"('ACEITON', 'CAVIERES')",1
192,"('ACEITON', 'CORTES')",1
193,"('ACEITON', 'FARIAS')",1
194,"('ACEITON', 'HERRERA')",1
195,"('ACEITON', 'ZENTENO')",1
196,"('ACEITUNO', 'ALVAREZ')",1
197,"('ACEITUNO', 'BENVENUTO')",1
198,"('ACEITUNO', 'CIELO')",1
199,"('ACEITUNO', 'JARA')",2
200,"('ACEITUNO', 'SARMIENTO')",1
201,"('ACEITUNO', 'URZUA')",1
202,"('ACEITUNO', 'VALENZUELA')",1
203,"('ACEITUNO', 'VASQUEZ')",1
204,"('ACEVAL', 'FERNANDEZ')",1
205,"('ACEVAL', 'GUEVARA')",1
206,"('ACEVEDO', 'ACEVEDO')",6
207,"('ACEVEDO', 'ALMONACID')",1
208,"('ACEVEDO', 'ALVARADO')",1
209,"('ACEVEDO', 'ALVAREZ')",1
210,"('ACEVEDO', 'AMPUERO')",1
211,"('ACEVEDO', 'ARACENA')",1
212,"('ACEVEDO', 'ARANCIBIA')",4
213,"('ACEVEDO', 'ARAOS')",1
214,"('ACEVEDO', 'ARCOS')",1
215,"('ACEVEDO', 'ARMIJO')",1
216,"('ACEVEDO', 'ARREDONDO')",4
217,"('ACEVEDO', 'ASENJO')",1
218,"('ACEVEDO', 'BAEZA')",2
219,"('ACEVEDO', 'BARRERA')",1
220,"('ACEVEDO', 'BERMUDEZ')",2
221,"('ACEVEDO', 'BRAVO')",2
222,"('ACEVEDO', 'BRITO')",2
223,"('ACEVEDO', 'BRIZUELA')",1
224,"('ACEVEDO', 'BUSTAMANTE')",2
225,"('ACEVEDO', 'CABEZAS')",1
226,"('ACEVEDO', 'CARDENAS')",2
227,"('ACEVEDO', 'CARROZA')",2
228,"('ACEVEDO', 'CASTILLO')",1
229,"('ACEVEDO', 'CASTRO')",2
230,"('ACEVEDO', 'CATALDO')",2
231,"('ACEVEDO', 'CAVIEDES')",2
232,"('ACEVEDO', 'CAVIERES')",1
233,"('ACEVEDO', 'CERDA')",3
234,"('ACEVEDO', 'CISTERNAS')",3
235,"('ACEVEDO', 'CORDOVA')",1
236,"('ACEVEDO', 'CORONA')",1
237,"('ACEVEDO', 'COVARRUBIAS')",1
238,"('ACEVEDO', 'CRISTI')",1
239,"('ACEVEDO', 'CUBILLOS')",1
240,"('ACEVEDO', 'DEL CASTILLO')",1
241,"('ACEVEDO', 'DIAZ')",2
242,"('ACEVEDO', 'ENCALADA')",2
243,"('ACEVEDO', 'ESPINOZA')",1
244,"('ACEVEDO', 'ESTAY')",3
245,"('ACEVEDO', 'FARFAN')",1
246,"('ACEVEDO', 'FERNANDEZ')",2
247,"('ACEVEDO', 'FERRARI')",1
248,"('ACEVEDO', 'FIGUEROA')",3
249,"('ACEVEDO', 'FLORES')",3
250,"('ACEVEDO', 'FREDES')",1
251,"('ACEVEDO', 'GARCIA')",1
252,"('ACEVEDO', 'GODOY')",2
253,"('ACEVEDO', 'GONZALEZ')",4
254,"('ACEVEDO', 'GUERRA')",4
255,"('ACEVEDO', 'GUTIERREZ')",3
256,"('ACEVEDO', 'GYLLEN')",1
257,"('ACEVEDO', 'HERNANDEZ')",2
258,"('ACEVEDO', 'HIDALGO')",1
259,"('ACEVEDO', 'HUERTA')",1
260,"('ACEVEDO', 'ITURRIETA')",1
261,"('ACEVEDO', 'JERIA')",1
262,"('ACEVEDO', 'JIMENEZ')",1
263,"('ACEVEDO', 'JORQUERA')",1
264,"('ACEVEDO', 'KARLEZI')",1
265,"('ACEVEDO', 'LABRA')",1
266,"('ACEVEDO', 'LARA')",1
267,"('ACEVEDO', 'MAC IVER')",1
268,"('ACEVEDO', 'MANCILLA')",2
269,"('ACEVEDO', 'MANRIQUEZ')",1
270,"('ACEVEDO', 'MARABOLI')",1
271,"('ACEVEDO', 'MARTINEZ')",1
272,"('ACEVEDO', 'MEDINA')",3
273,"('ACEVEDO', 'MELLAFE')",1
274,"('ACEVEDO', 'MESSINA')",1
275,"('ACEVEDO', 'MONTECINOS')",1
276,"('ACEVEDO', 'MONTIEL')",1
277,"('ACEVEDO', 'MORA')",1
278,"('ACEVEDO', 'MOSCOSO')",1
279,"('ACEVEDO', 'MOYA')",1
280,"('ACEVEDO', 'MURA')",1
281,"('ACEVEDO', 'NEGRETE')",2
282,"('ACEVEDO', 'NIETO')",2
283,"('ACEVEDO', 'OLAVARRIA')",1
284,"('ACEVEDO', 'OROZCO')",1
285,"('ACEVEDO', 'OSSANDON')",1
286,"('ACEVEDO', 'OYANEDEL')",1
287,"('ACEVEDO', 'PAEZ')",1
288,"('ACEVEDO', 'PENAILILLO')",1
289,"('ACEVEDO', 'PEREZ')",5
290,"('ACEVEDO', 'POBLETE')",1
291,"('ACEVEDO', 'QUEZADA')",1
292,"('ACEVEDO', 'RAMIREZ')",6
293,"('ACEVEDO', 'REYES')",3
294,"('ACEVEDO', 'RIVERO')",1
295,"('ACEVEDO', 'RODRIGUEZ')",2
296,"('ACEVEDO', 'ROJAS')",5
297,"('ACEVEDO', 'ROMAN')",1
298,"('ACEVEDO', 'SALDIAS')",1
299,"('ACEVEDO', 'SALGADO')",2
300,"('ACEVEDO', 'SANCHEZ')",1
301,"('ACEVEDO', 'SANDOVAL')",1
302,"('ACEVEDO', 'SANTANDER')",1
303,"('ACEVEDO', 'SARRIA')",1
304,"('ACEVEDO', 'SCHWARTZ')",1
305,"('ACEVEDO', 'SEGOVIA')",1
306,"('ACEVEDO', 'SILVA')",3
307,"('ACEVEDO', 'SOTO')",4
308,"('ACEVEDO', 'STTAMER')",2
309,"('ACEVEDO', 'TAPIA')",2
310,"('ACEVEDO', 'TEJEDO')",1
311,"('ACEVEDO', 'TOLOSA')",1
312,"('ACEVEDO', 'TORO')",2
313,"('ACEVEDO', 'TORRES')",1
314,"('ACEVEDO', 'URIBE')",2
315,"('ACEVEDO', 'VALDIVIESO')",1
316,"('ACEVEDO', 'VALENCIA')",3
317,"('ACEVEDO', 'VALLEJOS')",1
318,"('ACEVEDO', 'VARGAS')",3
319,"('ACEVEDO', 'VERA')",2
320,"('ACEVEDO', 'VERGARA')",2
321,"('ACEVEDO', 'VICENCIO')",1
322,"('ACEVEDO', 'VILLALOBOS')",1
323,"('ACEVEDO', 'ZAPATA')",2
324,"('ACHARAN', 'LEON')",1
325,"('ACHIARDI', 'ECHEVERRIA')",1
326,"('ACHIARDI', 'TAPIA')",1
327,"('ACHIBUR', 'FUENTES')",1
328,"('ACHU', 'MURA')",1
329,"('ACIARES', 'AMPUERO')",1
330,"('ACIARES', 'PACHECO')",1
331,"('ACKERMANN', 'VILLANUEVA')",1
332,"('ACOSTA', 'ALBORNOZ')",2
333,"('ACOSTA', 'ALVAREZ')",1
334,"('ACOSTA', 'ARAYA')",1
335,"('ACOSTA', 'ARMIJO')",1
336,"('ACOSTA', 'ASTORGA')",1
337,"('ACOSTA', 'CARCAMO')",1
338,"('ACOSTA', 'DELGADO')",2
339,"('ACOSTA', 'DONOSO')",1
340,"('ACOSTA', 'ESTAY')",1
341,"('ACOSTA', 'GODOY')",1
342,"('ACOSTA', 'GONZALEZ')",5
343,"('ACOSTA', 'LEMUS')",1
344,"('ACOSTA', 'LOBOS')",1
345,"('ACOSTA', 'LOPEZ')",1
346,"('ACOSTA', 'MARTINEZ')",1
347,"('ACOSTA', 'ORDENES')",1
348,"('ACOSTA', 'PEREZ')",2
349,"('ACOSTA', 'PIZARRO')",1
350,"('ACOSTA', 'SOLIS')",1
351,"('ACOSTA', 'TAPIA')",4
352,"('ACOSTA', 'VILLEGAS')",3
353,"('ACOSTA', 'ZUNIGA')",1
354,"('ACRA', 'SANTOS')",1
355,"('ACUA', 'TORRES')",1
356,"('ACUM', 'AMADOR')",1
357,"('ACUNA', 'ACUNA')",3
358,"('ACUNA', 'ALVAREZ')",1
