,names,n
145,"('ACEVEDO', 'CAMPOS')",1
146,"('ACEVEDO', 'CARDENAS')",1
147,"('ACEVEDO', 'CARRASCO')",3
148,"('ACEVEDO', 'CARVAJAL')",1
149,"('ACEVEDO', 'CASTRO')",3
150,"('ACEVEDO', 'CATRIL')",1
151,"('ACEVEDO', 'CESPED')",1
152,"('ACEVEDO', 'CHALAS')",1
153,"('ACEVEDO', 'CIFUENTES')",1
154,"('ACEVEDO', 'CORREA')",2
155,"('ACEVEDO', 'COSSI')",1
156,"('ACEVEDO', 'CUEVAS')",1
157,"('ACEVEDO', 'DELGADO')",1
158,"('ACEVEDO', 'DURAN')",1
159,"('ACEVEDO', 'FARINA')",1
160,"('ACEVEDO', 'GAJARDO')",2
161,"('ACEVEDO', 'GIACAMAN')",1
162,"('ACEVEDO', 'GONZALEZ')",4
163,"('ACEVEDO', 'GUZMAN')",1
164,"('ACEVEDO', 'HENRIQUEZ')",3
165,"('ACEVEDO', 'HIDALGO')",1
166,"('ACEVEDO', 'JARA')",4
167,"('ACEVEDO', 'JIMENEZ')",2
168,"('ACEVEDO', 'LAGOS')",1
169,"('ACEVEDO', 'LARA')",1
170,"('ACEVEDO', 'LEAL')",1
171,"('ACEVEDO', 'LIZANA')",1
172,"('ACEVEDO', 'LOPEZ')",1
173,"('ACEVEDO', 'LUCERO')",1
174,"('ACEVEDO', 'MALDONADO')",3
175,"('ACEVEDO', 'MALTES')",1
176,"('ACEVEDO', 'MATAMALA')",1
177,"('ACEVEDO', 'MIRANDA')",1
178,"('ACEVEDO', 'MUNOZ')",2
179,"('ACEVEDO', 'NEIRA')",1
180,"('ACEVEDO', 'ORTIZ')",3
181,"('ACEVEDO', 'PARRA')",1
182,"('ACEVEDO', 'PEREIRA')",1
183,"('ACEVEDO', 'PEREZ')",1
184,"('ACEVEDO', 'PINO')",1
185,"('ACEVEDO', 'RAMIREZ')",3
186,"('ACEVEDO', 'RIVAS')",1
187,"('ACEVEDO', 'SAEZ')",1
188,"('ACEVEDO', 'SALAS')",2
189,"('ACEVEDO', 'SALGADO')",1
190,"('ACEVEDO', 'SALVO')",1
191,"('ACEVEDO', 'SANCHEZ')",2
192,"('ACEVEDO', 'SANDOVAL')",1
193,"('ACEVEDO', 'SILVA')",2
194,"('ACEVEDO', 'SUAZO')",1
195,"('ACEVEDO', 'SYLVESTER')",2
196,"('ACEVEDO', 'VALLEJOS')",2
197,"('ACEVEDO', 'VASQUEZ')",2
198,"('ACEVEDO', 'VIAL')",1
199,"('ACHURRA', 'MARTINEZ')",1
200,"('ACOSTA', 'AGUILERA')",2
201,"('ACOSTA', 'CANCINO')",1
202,"('ACOSTA', 'GARCIA')",3
203,"('ACOSTA', 'JARA')",1
204,"('ACOSTA', 'JOFRE')",1
205,"('ACOSTA', 'MENA')",1
206,"('ACOSTA', 'MOLINA')",1
207,"('ACOSTA', 'MORALES')",2
208,"('ACOSTA', 'ORELLANA')",1
209,"('ACOSTA', 'ORMENO')",1
210,"('ACOSTA', 'RODRIGUEZ')",3
211,"('ACOSTA', 'ROMERO')",2
212,"('ACOSTA', 'SANDOVAL')",1
213,"('ACOSTA', 'SANHUEZA')",1
214,"('ACOSTA', 'TILLERIAS')",1
215,"('ACOSTA', 'VASQUEZ')",2
216,"('ACOSTA', 'ZAMBRANO')",1
217,"('ACUNA', 'ABARZUA')",2
218,"('ACUNA', 'ACEVEDO')",1
219,"('ACUNA', 'ACUNA')",5
220,"('ACUNA', 'AGUIRRE')",1
221,"('ACUNA', 'ARANEDA')",2
222,"('ACUNA', 'ARAYA')",5
223,"('ACUNA', 'ARGUEN')",1
224,"('ACUNA', 'ARRIAGADA')",3
225,"('ACUNA', 'AVILA')",2
226,"('ACUNA', 'BAEZA')",3
227,"('ACUNA', 'BAHAMONDES')",1
228,"('ACUNA', 'BARRERA')",1
229,"('ACUNA', 'BARRIGA')",1
230,"('ACUNA', 'BASTIAS')",2
231,"('ACUNA', 'BIZAMA')",1
232,"('ACUNA', 'BRIONES')",2
233,"('ACUNA', 'BUSTOS')",1
234,"('ACUNA', 'CABEZAS')",2
235,"('ACUNA', 'CABRERA')",3
236,"('ACUNA', 'CALDERON')",1
237,"('ACUNA', 'CARCAMO')",3
238,"('ACUNA', 'CARRASCO')",7
239,"('ACUNA', 'CARRILLO')",1
240,"('ACUNA', 'CASSARETTO')",1
241,"('ACUNA', 'CASTILLO')",6
242,"('ACUNA', 'CESPEDES')",1
243,"('ACUNA', 'CIFUENTES')",1
244,"('ACUNA', 'CISTERNA')",5
245,"('ACUNA', 'CISTERNAS')",1
246,"('ACUNA', 'CONTRERAS')",3
247,"('ACUNA', 'CRUZ')",1
248,"('ACUNA', 'CUADRA')",1
249,"('ACUNA', 'DELGADO')",2
250,"('ACUNA', 'DIAZ')",1
251,"('ACUNA', 'DOMINGUEZ')",1
252,"('ACUNA', 'DUBO')",1
253,"('ACUNA', 'DURAN')",3
254,"('ACUNA', 'ESPINOZA')",2
255,"('ACUNA', 'FAUNDEZ')",1
256,"('ACUNA', 'FERNANDEZ')",2
257,"('ACUNA', 'FERRANDO')",1
258,"('ACUNA', 'FLORES')",5
259,"('ACUNA', 'FUENTEALBA')",3
260,"('ACUNA', 'FUENTES')",3
261,"('ACUNA', 'GACITUA')",1
262,"('ACUNA', 'GALLEGOS')",1
263,"('ACUNA', 'GALVEZ')",2
264,"('ACUNA', 'GAME')",2
265,"('ACUNA', 'GANGAS')",1
266,"('ACUNA', 'GARCIA')",2
267,"('ACUNA', 'GARRIDO')",3
268,"('ACUNA', 'GAVILAN')",1
269,"('ACUNA', 'GODOY')",1
270,"('ACUNA', 'GOMEZ')",1
271,"('ACUNA', 'GONZALEZ')",10
272,"('ACUNA', 'GUTIERREZ')",3
273,"('ACUNA', 'HENRIQUEZ')",4
274,"('ACUNA', 'HERRERA')",7
275,"('ACUNA', 'INOSTROZA')",1
276,"('ACUNA', 'ITURRA')",2
277,"('ACUNA', 'JAQUE')",3
278,"('ACUNA', 'JARA')",8
279,"('ACUNA', 'LAGOS')",4
280,"('ACUNA', 'LARA')",1
281,"('ACUNA', 'LEAL')",1
282,"('ACUNA', 'LEIVA')",3
283,"('ACUNA', 'LEON')",3
284,"('ACUNA', 'LIZAMA')",1
285,"('ACUNA', 'LOPEZ')",1
286,"('ACUNA', 'LUENGO')",2
287,"('ACUNA', 'MARDONES')",1
288,"('ACUNA', 'MARIN')",2
289,"('ACUNA', 'MARQUEZ')",1
290,"('ACUNA', 'MARTINEZ')",4
291,"('ACUNA', 'MATAMALA')",2
292,"('ACUNA', 'MENDEZ')",1
293,"('ACUNA', 'MENDOZA')",1
294,"('ACUNA', 'MESA')",1
295,"('ACUNA', 'MIGLIARDI')",1
296,"('ACUNA', 'MOLINA')",2
297,"('ACUNA', 'MONROY')",2
298,"('ACUNA', 'MONSALVE')",6
299,"('ACUNA', 'MONTECINOS')",2
300,"('ACUNA', 'MONTOYA')",3
301,"('ACUNA', 'MORA')",7
302,"('ACUNA', 'MORALES')",4
303,"('ACUNA', 'MORENO')",2
304,"('ACUNA', 'MOYA')",1
305,"('ACUNA', 'MUNOZ')",10
306,"('ACUNA', 'OLATE')",3
307,"('ACUNA', 'OLIVA')",1
308,"('ACUNA', 'OPAZO')",1
309,"('ACUNA', 'ORMENO')",1
310,"('ACUNA', 'ORTIZ')",2
311,"('ACUNA', 'PALACIOS')",1
312,"('ACUNA', 'PALMA')",3
313,"('ACUNA', 'PENA')",3
314,"('ACUNA', 'PEREZ')",4
315,"('ACUNA', 'PINO')",5
316,"('ACUNA', 'POBLETE')",6
317,"('ACUNA', 'PROVOSTE')",1
318,"('ACUNA', 'RABANAL')",1
319,"('ACUNA', 'RAMIREZ')",1
320,"('ACUNA', 'RATHGEB')",1
321,"('ACUNA', 'RETAMAL')",1
322,"('ACUNA', 'REYES')",2
323,"('ACUNA', 'REYMAN')",1
324,"('ACUNA', 'RIQUELME')",5
325,"('ACUNA', 'RIVERA')",3
326,"('ACUNA', 'ROCHA')",1
327,"('ACUNA', 'RODRIGUEZ')",2
328,"('ACUNA', 'ROJAS')",4
329,"('ACUNA', 'ROMERO')",1
330,"('ACUNA', 'RUBILAR')",2
331,"('ACUNA', 'RUIZ')",5
332,"('ACUNA', 'SAEZ')",4
333,"('ACUNA', 'SALAS')",2
334,"('ACUNA', 'SALAZAR')",5
335,"('ACUNA', 'SALDANA')",1
336,"('ACUNA', 'SAN CRISTOBAL')",1
337,"('ACUNA', 'SAN MARTIN')",1
338,"('ACUNA', 'SANDOVAL')",5
339,"('ACUNA', 'SEGUEL')",2
340,"('ACUNA', 'SEPULVEDA')",3
341,"('ACUNA', 'SERON')",1
342,"('ACUNA', 'SOTO')",3
343,"('ACUNA', 'SUAZO')",2
344,"('ACUNA', 'TOLEDO')",1
345,"('ACUNA', 'TOLOZA')",1
346,"('ACUNA', 'URIBE')",1
347,"('ACUNA', 'VALENZUELA')",2
348,"('ACUNA', 'VARELA')",1
349,"('ACUNA', 'VASQUEZ')",2
350,"('ACUNA', 'VELASQUEZ')",2
351,"('ACUNA', 'VELOSO')",3
352,"('ACUNA', 'VENEGAS')",1
353,"('ACUNA', 'VERA')",6
354,"('ACUNA', 'VERGARA')",5
355,"('ACUNA', 'VILLALOBOS')",3
356,"('ACUNA', 'VILLARROEL')",1
357,"('ACUNA', 'YEVENES')",1
358,"('ADAM', 'BENAVIDES')",1
359,"('ADAN', 'ADAN')",1
360,"('ADAN', 'PORTER')",1
361,"('ADARO', 'ZAVALA')",4
362,"('ADOLFSSEN', 'FUENTES')",4
363,"('ADRIAN', 'JARA')",1
364,"('ADRIAZOLA', 'CUEVAS')",1
365,"('ADRIAZOLA', 'RIVERO')",1
366,"('ADRIAZOLA', 'SOTO')",1
367,"('AEDO', 'AEDO')",2
368,"('AEDO', 'AREVALO')",1
369,"('AEDO', 'ARIAS')",2
370,"('AEDO', 'CAMPOS')",1
371,"('AEDO', 'CANDIA')",1
372,"('AEDO', 'CARCAMO')",2
373,"('AEDO', 'CARRASCO')",1
374,"('AEDO', 'CASTRO')",1
375,"('AEDO', 'CATALAN')",1
376,"('AEDO', 'CEBALLOS')",1
377,"('AEDO', 'CONTRERAS')",4
378,"('AEDO', 'CRUZ')",2
379,"('AEDO', 'CUEVAS')",2
380,"('AEDO', 'DELGADO')",1
381,"('AEDO', 'DURAN')",1
382,"('AEDO', 'ESPINOZA')",2
383,"('AEDO', 'FAUNDEZ')",1
384,"('AEDO', 'FUENTES')",3
385,"('AEDO', 'GARCIA')",1
386,"('AEDO', 'GOMEZ')",3
387,"('AEDO', 'GONZALEZ')",6
388,"('AEDO', 'GUZMAN')",1
389,"('AEDO', 'INZUNZA')",1
390,"('AEDO', 'JELDRES')",1
391,"('AEDO', 'JEREZ')",1
392,"('AEDO', 'JIMENEZ')",1
393,"('AEDO', 'JORQUERA')",1
394,"('AEDO', 'LEAL')",4
395,"('AEDO', 'LOPEZ')",1
396,"('AEDO', 'MALUJE')",2
397,"('AEDO', 'MARTINEZ')",2
398,"('AEDO', 'MENDOZA')",1
399,"('AEDO', 'MONJE')",2
400,"('AEDO', 'MONSALVES')",1
401,"('AEDO', 'MUNOZ')",6
402,"('AEDO', 'NAVARRETE')",2
403,"('AEDO', 'ORMENO')",1
404,"('AEDO', 'ORTIZ')",2
405,"('AEDO', 'PEREZ')",2
406,"('AEDO', 'PERVIS')",1
407,"('AEDO', 'PINOLEO')",1
408,"('AEDO', 'PLACENCIA')",1
409,"('AEDO', 'QUEZADA')",2
410,"('AEDO', 'QUIROGA')",1
411,"('AEDO', 'RAMIREZ')",2
412,"('AEDO', 'ROJAS')",1
413,"('AEDO', 'ROMERO')",2
414,"('AEDO', 'RUBILAR')",1
415,"('AEDO', 'SALAZAR')",3
416,"('AEDO', 'SALDANA')",1
417,"('AEDO', 'SALDES')",1
418,"('AEDO', 'SANDOVAL')",1
419,"('AEDO', 'SARAVIA')",1
420,"('AEDO', 'SOLIS')",1
421,"('AEDO', 'SOTO')",2
422,"('AEDO', 'SUSPERREGUY')",1
423,"('AEDO', 'TOLEDO')",1
424,"('AEDO', 'TRONCOSO')",1
425,"('AEDO', 'URIBE')",1
426,"('AEDO', 'URRA')",1
427,"('AEDO', 'URREA')",1
428,"('AEDO', 'VALLEJOS')",1
429,"('AEDO', 'VARGAS')",2
430,"('AEDO', 'VILLALOBOS')",1
431,"('AEDO', 'ZAMBRANO')",1
432,"('AGREDA', 'DE ILARRETA')",1
433,"('AGUAYO', 'ACUNA')",2
434,"('AGUAYO', 'AGUAYO')",7
435,"('AGUAYO', 'AGUILERA')",3
436,"('AGUAYO', 'AILLON')",1
437,"('AGUAYO', 'ALAMOS')",1
438,"('AGUAYO', 'ALARCON')",2
439,"('AGUAYO', 'ALEGRIA')",2
440,"('AGUAYO', 'ALVAREZ')",2
441,"('AGUAYO', 'ANTILAO')",1
442,"('AGUAYO', 'ARANEDA')",2
443,"('AGUAYO', 'ARANGUEZ')",1
444,"('AGUAYO', 'ARAVENA')",6
445,"('AGUAYO', 'ARAYA')",2
446,"('AGUAYO', 'ARELLANO')",1
447,"('AGUAYO', 'ARIAS')",1
448,"('AGUAYO', 'AZOCAR')",2
449,"('AGUAYO', 'BARRA')",1
450,"('AGUAYO', 'BELTRAN')",1
451,"('AGUAYO', 'BENITEZ')",2
452,"('AGUAYO', 'BETANZO')",1
453,"('AGUAYO', 'BIZAMA')",2
454,"('AGUAYO', 'BURGOS')",2
455,"('AGUAYO', 'BUSTOS')",5
456,"('AGUAYO', 'CABRALES')",1
457,"('AGUAYO', 'CAMPOS')",6
458,"('AGUAYO', 'CARO')",1
459,"('AGUAYO', 'CARRILLO')",2
460,"('AGUAYO', 'CARTES')",5
461,"('AGUAYO', 'CASTILLO')",11
462,"('AGUAYO', 'CATALAN')",4
463,"('AGUAYO', 'CATRICURA')",1
464,"('AGUAYO', 'CATRIL')",1
465,"('AGUAYO', 'CAYULEF')",1
466,"('AGUAYO', 'CEDAS')",1
467,"('AGUAYO', 'CERNA')",1
468,"('AGUAYO', 'CHAMORRO')",1
469,"('AGUAYO', 'CHANDIA')",4
470,"('AGUAYO', 'CID')",1
471,"('AGUAYO', 'CIFUENTES')",7
472,"('AGUAYO', 'COFRE')",1
473,"('AGUAYO', 'CONCHA')",1
474,"('AGUAYO', 'CONTRERAS')",9
475,"('AGUAYO', 'CORREA')",3
476,"('AGUAYO', 'CORTES')",1
477,"('AGUAYO', 'CUADRA')",1
478,"('AGUAYO', 'DEL PERO')",1
479,"('AGUAYO', 'DIAZ')",3
480,"('AGUAYO', 'ESCOBAR')",4
481,"('AGUAYO', 'ESPINOZA')",4
482,"('AGUAYO', 'FAUNDEZ')",1
483,"('AGUAYO', 'FERNANDEZ')",1
484,"('AGUAYO', 'FICA')",1
485,"('AGUAYO', 'FLORES')",2
486,"('AGUAYO', 'FORTEZA')",1
487,"('AGUAYO', 'FUENTES')",5
488,"('AGUAYO', 'GAETE')",1
489,"('AGUAYO', 'GAJARDO')",5
490,"('AGUAYO', 'GANGAS')",1
491,"('AGUAYO', 'GARCIA')",6
492,"('AGUAYO', 'GONZALEZ')",11
493,"('AGUAYO', 'GUBELIS')",1
494,"('AGUAYO', 'GUERRA')",1
495,"('AGUAYO', 'GUZMAN')",2
496,"('AGUAYO', 'HENRIQUEZ')",4
