,names,n
147,"('ABARCA', 'LEIVA')",3
148,"('ABARCA', 'LIZANA')",2
149,"('ABARCA', 'LLANOS')",1
150,"('ABARCA', 'LOBOS')",1
151,"('ABARCA', 'LOPEZ')",11
152,"('ABARCA', 'LORCA')",1
153,"('ABARCA', 'LUNA')",1
154,"('ABARCA', 'MADRID')",1
155,"('ABARCA', 'MALDONADO')",3
156,"('ABARCA', 'MALLEA')",1
157,"('ABARCA', 'MANRIQUEZ')",1
158,"('ABARCA', 'MARAMBIO')",1
159,"('ABARCA', 'MARDONES')",2
160,"('ABARCA', 'MARIN')",1
161,"('ABARCA', 'MARTINEZ')",4
162,"('ABARCA', 'MASIAS')",2
163,"('ABARCA', 'MATURANA')",3
164,"('ABARCA', 'MEDINA')",1
165,"('ABARCA', 'MEJIAS')",1
166,"('ABARCA', 'MELILLAN')",1
167,"('ABARCA', 'MELLA')",1
168,"('ABARCA', 'MENA')",1
169,"('ABARCA', 'MENDEZ')",1
170,"('ABARCA', 'MENESES')",1
171,"('ABARCA', 'MEZA')",1
172,"('ABARCA', 'MOLINA')",4
173,"('ABARCA', 'MONJE')",1
174,"('ABARCA', 'MONTANO')",1
175,"('ABARCA', 'MONTOYA')",1
176,"('ABARCA', 'MORA')",4
177,"('ABARCA', 'MORAGA')",2
178,"('ABARCA', 'MORALES')",7
179,"('ABARCA', 'MORAN')",1
180,"('ABARCA', 'MUNOZ')",22
181,"('ABARCA', 'NARVAEZ')",1
182,"('ABARCA', 'NAVARRETE')",2
183,"('ABARCA', 'NAVARRO')",2
184,"('ABARCA', 'NELLI')",1
185,"('ABARCA', 'NUNEZ')",3
186,"('ABARCA', 'OLAVE')",2
187,"('ABARCA', 'OLEA')",2
188,"('ABARCA', 'OLGUIN')",4
189,"('ABARCA', 'OLIVARES')",2
190,"('ABARCA', 'OLIVOS')",1
191,"('ABARCA', 'ORMENO')",2
192,"('ABARCA', 'OSORIO')",3
193,"('ABARCA', 'OYARCE')",2
194,"('ABARCA', 'PACHECO')",3
195,"('ABARCA', 'PAINEMAL')",1
196,"('ABARCA', 'PAINEQUEO')",1
197,"('ABARCA', 'PALMA')",3
198,"('ABARCA', 'PAREDES')",1
199,"('ABARCA', 'PARRA')",4
200,"('ABARCA', 'PEIRE')",1
201,"('ABARCA', 'PEREZ')",5
202,"('ABARCA', 'PINO')",7
203,"('ABARCA', 'PIZARRO')",2
204,"('ABARCA', 'PLAZA')",1
205,"('ABARCA', 'POBLETE')",2
206,"('ABARCA', 'PRIETO')",1
207,"('ABARCA', 'QUEZADA')",1
208,"('ABARCA', 'QUIDEL')",1
209,"('ABARCA', 'QUINTEROS')",1
210,"('ABARCA', 'RAMIREZ')",12
211,"('ABARCA', 'RATHGEB')",1
212,"('ABARCA', 'REYES')",5
213,"('ABARCA', 'RIOS')",1
214,"('ABARCA', 'RIVEROS')",4
215,"('ABARCA', 'ROA')",1
216,"('ABARCA', 'RODRIGUEZ')",2
217,"('ABARCA', 'ROJAS')",14
218,"('ABARCA', 'ROMERO')",3
219,"('ABARCA', 'ROMO')",1
220,"('ABARCA', 'RUBIO')",1
221,"('ABARCA', 'RUIZ')",5
222,"('ABARCA', 'SAEZ')",1
223,"('ABARCA', 'SALAS')",7
224,"('ABARCA', 'SALGADO')",1
225,"('ABARCA', 'SALINAS')",10
226,"('ABARCA', 'SANCHEZ')",3
227,"('ABARCA', 'SANDOVAL')",2
228,"('ABARCA', 'SANTIBANEZ')",1
229,"('ABARCA', 'SANTIS')",1
230,"('ABARCA', 'SAZO')",2
231,"('ABARCA', 'SEPULVEDA')",7
232,"('ABARCA', 'SERRANO')",1
233,"('ABARCA', 'SILVA')",6
234,"('ABARCA', 'SOLARI')",2
235,"('ABARCA', 'SOTO')",5
236,"('ABARCA', 'SPRING')",2
237,"('ABARCA', 'TAIBO')",1
238,"('ABARCA', 'TAPIA')",3
239,"('ABARCA', 'TOLEDO')",3
240,"('ABARCA', 'TORO')",1
241,"('ABARCA', 'UGARTE')",1
242,"('ABARCA', 'ULLOA')",2
243,"('ABARCA', 'URBINA')",1
244,"('ABARCA', 'URRA')",1
245,"('ABARCA', 'URRUTIA')",1
246,"('ABARCA', 'VALDERRAMA')",2
247,"('ABARCA', 'VALENZUELA')",4
248,"('ABARCA', 'VALLADE')",1
249,"('ABARCA', 'VALLEJOS')",2
250,"('ABARCA', 'VARGAS')",5
251,"('ABARCA', 'VASQUEZ')",1
252,"('ABARCA', 'VEAS')",1
253,"('ABARCA', 'VEGA')",4
254,"('ABARCA', 'VELASQUEZ')",1
255,"('ABARCA', 'VENEROS')",1
256,"('ABARCA', 'VIDAL')",3
257,"('ABARCA', 'VILCHES')",1
258,"('ABARCA', 'VILLAGRA')",1
259,"('ABARCA', 'VILLALOBOS')",3
260,"('ABARCA', 'VILLANUEVA')",3
261,"('ABARCA', 'VILLARROEL')",7
262,"('ABARCA', 'ZAMORA')",1
263,"('ABARCA', 'ZAMORANO')",2
264,"('ABARCIA', 'ROJAS')",1
265,"('ABARCIA', 'VILLAFANA')",1
266,"('ABAROA', 'ALVAREZ')",1
267,"('ABAROA', 'GHIZOLFO')",1
268,"('ABAROA', 'MENDOZA')",1
269,"('ABAROA', 'REYES')",1
270,"('ABARZA', 'ABARZA')",1
271,"('ABARZA', 'CABEZAS')",1
272,"('ABARZA', 'GATICA')",1
273,"('ABARZA', 'LARA')",1
274,"('ABARZA', 'LEON')",2
275,"('ABARZA', 'RECABAL')",1
276,"('ABARZA', 'RIQUELME')",2
277,"('ABARZA', 'ROJAS')",1
278,"('ABARZA', 'SERRANO')",1
279,"('ABARZA', 'SILVA')",1
280,"('ABARZA', 'TAPIA')",1
281,"('ABARZA', 'TEJO')",1
282,"('ABARZU', 'SILVA')",1
283,"('ABARZUA', 'ABARCA')",1
284,"('ABARZUA', 'ABARZUA')",2
285,"('ABARZUA', 'AGUILERA')",2
286,"('ABARZUA', 'AILLAPAN')",1
287,"('ABARZUA', 'ARANGUIZ')",1
288,"('ABARZUA', 'ARAYA')",3
289,"('ABARZUA', 'BENITEZ')",1
290,"('ABARZUA', 'BLANCO')",1
291,"('ABARZUA', 'BUSTOS')",1
292,"('ABARZUA', 'CALDERON')",1
293,"('ABARZUA', 'CANTERO')",2
294,"('ABARZUA', 'CASTRO')",3
295,"('ABARZUA', 'COFRE')",1
296,"('ABARZUA', 'CRUZ')",1
297,"('ABARZUA', 'ECHEVERRIA')",1
298,"('ABARZUA', 'ESPEJO')",1
299,"('ABARZUA', 'ESPINOZA')",3
300,"('ABARZUA', 'FARIAS')",1
301,"('ABARZUA', 'GOMEZ')",1
302,"('ABARZUA', 'GUERRA')",1
303,"('ABARZUA', 'GUTIERREZ')",1
304,"('ABARZUA', 'JARA')",1
305,"('ABARZUA', 'KRUMENAKER')",1
306,"('ABARZUA', 'LACKINGTON')",1
307,"('ABARZUA', 'LEYTON')",2
308,"('ABARZUA', 'LILLO')",1
309,"('ABARZUA', 'LOPEZ')",1
310,"('ABARZUA', 'MANSILLA')",1
311,"('ABARZUA', 'MOLINA')",2
312,"('ABARZUA', 'MONTALVA')",1
313,"('ABARZUA', 'MORENO')",1
314,"('ABARZUA', 'MUNOZ')",3
315,"('ABARZUA', 'NAVARRO')",1
316,"('ABARZUA', 'OBREQUE')",1
317,"('ABARZUA', 'OLAVE')",3
318,"('ABARZUA', 'ORDENES')",1
319,"('ABARZUA', 'ORTIZ')",2
320,"('ABARZUA', 'PASTEN')",4
321,"('ABARZUA', 'PASTENE')",1
322,"('ABARZUA', 'PEREZ')",3
323,"('ABARZUA', 'PODESTA')",1
324,"('ABARZUA', 'PODLECH')",1
325,"('ABARZUA', 'QUIROZ')",1
326,"('ABARZUA', 'RAMIREZ')",1
327,"('ABARZUA', 'RIQUELME')",2
328,"('ABARZUA', 'RIVERAS')",1
329,"('ABARZUA', 'ROA')",2
330,"('ABARZUA', 'RODRIGUEZ')",3
331,"('ABARZUA', 'ROJAS')",1
332,"('ABARZUA', 'ROSSEL')",2
333,"('ABARZUA', 'RUIZ')",2
334,"('ABARZUA', 'SALVATIERRA')",1
335,"('ABARZUA', 'SANCHEZ')",2
336,"('ABARZUA', 'SEPULVEDA')",4
337,"('ABARZUA', 'SILVA')",1
338,"('ABARZUA', 'SOTO')",3
339,"('ABARZUA', 'TAPIA')",1
340,"('ABARZUA', 'TORO')",1
