,names,n
146,"('AGUERO', 'MARTINEZ')",1
147,"('AGUERO', 'RAMIREZ')",1
148,"('AGUERO', 'RIVERA')",1
149,"('AGUERO', 'RUBILAR')",1
150,"('AGUERO', 'SANCHEZ')",1
151,"('AGUERO', 'SILVA')",1
152,"('AGUERO', 'VARGAS')",2
153,"('AGUERO', 'VELASQUEZ')",2
154,"('AGUILA', 'AGUILA')",1
155,"('AGUILA', 'AVILA')",1
156,"('AGUILA', 'BUSTAMANTE')",2
157,"('AGUILA', 'CHACON')",1
158,"('AGUILA', 'GUENUPAN')",1
159,"('AGUILA', 'HERNANDEZ')",1
160,"('AGUILA', 'JARAMILLO')",1
161,"('AGUILA', 'LLANQUILEF')",1
162,"('AGUILA', 'MALDONADO')",1
163,"('AGUILA', 'MELO')",1
164,"('AGUILA', 'PAREDES')",1
165,"('AGUILA', 'SEPULVEDA')",3
166,"('AGUILA', 'TRIVINOS')",1
167,"('AGUILA', 'VARGAS')",1
168,"('AGUILAR', 'AGUILAR')",5
169,"('AGUILAR', 'AGUILERA')",2
170,"('AGUILAR', 'ALARCON')",1
171,"('AGUILAR', 'AZOCAR')",1
172,"('AGUILAR', 'BARRIENTOS')",1
173,"('AGUILAR', 'BOBADILLA')",1
174,"('AGUILAR', 'BRICENO')",1
175,"('AGUILAR', 'CARRASCO')",4
176,"('AGUILAR', 'CATALAN')",3
177,"('AGUILAR', 'COLLILEO')",1
178,"('AGUILAR', 'DEL RIO')",2
179,"('AGUILAR', 'ELGUETA')",1
180,"('AGUILAR', 'FUENTES')",2
181,"('AGUILAR', 'GALLARDO')",2
182,"('AGUILAR', 'GATICA')",1
183,"('AGUILAR', 'GOMEZ')",1
184,"('AGUILAR', 'GONZALEZ')",4
185,"('AGUILAR', 'HERNANDEZ')",2
186,"('AGUILAR', 'LEIVA')",3
187,"('AGUILAR', 'LONCOCHINO')",2
188,"('AGUILAR', 'MANCILLA')",1
189,"('AGUILAR', 'MATUS')",1
190,"('AGUILAR', 'MINTE')",1
191,"('AGUILAR', 'MOLINERY')",4
192,"('AGUILAR', 'PENA')",1
193,"('AGUILAR', 'PEREIRA')",1
194,"('AGUILAR', 'REYES')",1
195,"('AGUILAR', 'RIOS')",2
196,"('AGUILAR', 'RIQUELME')",1
197,"('AGUILAR', 'RISCO')",1
198,"('AGUILAR', 'SAEZ')",1
199,"('AGUILAR', 'SANCHEZ')",2
200,"('AGUILAR', 'SILVA')",2
201,"('AGUILAR', 'SOTO')",4
202,"('AGUILAR', 'TRIBINO')",1
203,"('AGUILAR', 'URIBE')",4
204,"('AGUILAR', 'VELASQUEZ')",2
205,"('AGUILAR', 'VIDAL')",1
206,"('AGUILEF', 'GALLEGOS')",1
207,"('AGUILERA', 'ARISMENDI')",1
208,"('AGUILERA', 'ASTUDILLO')",1
209,"('AGUILERA', 'BIZCARRA')",1
210,"('AGUILERA', 'CASTILLO')",1
211,"('AGUILERA', 'CONTRERAS')",1
212,"('AGUILERA', 'FAUNDEZ')",1
213,"('AGUILERA', 'FERNANDEZ')",3
214,"('AGUILERA', 'FIGUEROA')",1
215,"('AGUILERA', 'GATICA')",1
216,"('AGUILERA', 'LAGOS')",2
