,names,n
149,"('ABURTO', 'TORO')",1
150,"('ACEITUNO', 'ACEITUNO')",1
151,"('ACEITUNO', 'ARCE')",2
152,"('ACEITUNO', 'BOSSA')",1
153,"('ACEITUNO', 'CEA')",1
154,"('ACEITUNO', 'GALLEGUILLOS')",1
155,"('ACEITUNO', 'JORQUERA')",1
156,"('ACEITUNO', 'LOPEZ')",1
157,"('ACEITUNO', 'NOVOA')",1
158,"('ACEITUNO', 'OSORIO')",1
159,"('ACEITUNO', 'PAVEZ')",3
160,"('ACEITUNO', 'PINTO')",2
161,"('ACEITUNO', 'RIVERA')",1
162,"('ACEITUNO', 'ROMERO')",1
163,"('ACEITUNO', 'RUBILAR')",1
164,"('ACEITUNO', 'SOTO')",2
165,"('ACEITUNO', 'VALENCIA')",1
166,"('ACEITUNO', 'VERDEJO')",3
167,"('ACEVEDO', 'ACEVEDO')",4
168,"('ACEVEDO', 'ADASME')",1
169,"('ACEVEDO', 'AGUILERA')",1
170,"('ACEVEDO', 'ALARCON')",3
171,"('ACEVEDO', 'ALIAGA')",2
172,"('ACEVEDO', 'AMAYA')",2
173,"('ACEVEDO', 'APABLAZA')",1
174,"('ACEVEDO', 'ARANGUIZ')",1
175,"('ACEVEDO', 'ARCE')",2
176,"('ACEVEDO', 'AREVALO')",4
177,"('ACEVEDO', 'ASTORGA')",1
178,"('ACEVEDO', 'ASTUDILLO')",2
179,"('ACEVEDO', 'AVILA')",3
180,"('ACEVEDO', 'BEAS')",1
181,"('ACEVEDO', 'BECERRA')",3
182,"('ACEVEDO', 'BELMAR')",2
183,"('ACEVEDO', 'BOZO')",1
184,"('ACEVEDO', 'BUSTAMANTE')",6
185,"('ACEVEDO', 'BUSTOS')",2
186,"('ACEVEDO', 'CACERES')",6
187,"('ACEVEDO', 'CADIZ')",1
188,"('ACEVEDO', 'CARO')",1
189,"('ACEVEDO', 'CARRASCO')",5
190,"('ACEVEDO', 'CATALAN')",2
191,"('ACEVEDO', 'CAVIERES')",1
192,"('ACEVEDO', 'CELIS')",1
193,"('ACEVEDO', 'CERDA')",1
194,"('ACEVEDO', 'CHACON')",1
195,"('ACEVEDO', 'CHAVEZ')",1
196,"('ACEVEDO', 'CONCHA')",2
197,"('ACEVEDO', 'CONTRERAS')",2
198,"('ACEVEDO', 'CORDOVA')",1
199,"('ACEVEDO', 'CORNEJO')",3
200,"('ACEVEDO', 'CORREA')",5
201,"('ACEVEDO', 'DELZON')",1
202,"('ACEVEDO', 'DIAZ')",14
203,"('ACEVEDO', 'DONOSO')",5
204,"('ACEVEDO', 'DUQUE')",3
205,"('ACEVEDO', 'ELGUETA')",1
206,"('ACEVEDO', 'ERAZO')",1
207,"('ACEVEDO', 'ESPARZA')",1
208,"('ACEVEDO', 'ESPINOZA')",7
209,"('ACEVEDO', 'FARIAS')",3
210,"('ACEVEDO', 'FERNANDEZ')",1
211,"('ACEVEDO', 'FLORES')",1
212,"('ACEVEDO', 'FUENTES')",1
213,"('ACEVEDO', 'GALARCE')",1
214,"('ACEVEDO', 'GALVEZ')",1
215,"('ACEVEDO', 'GARCIA')",1
216,"('ACEVEDO', 'GONZALEZ')",15
217,"('ACEVEDO', 'GUAICO')",1
218,"('ACEVEDO', 'GUERRA')",1
219,"('ACEVEDO', 'GUERRERO')",1
220,"('ACEVEDO', 'GUTIERREZ')",2
221,"('ACEVEDO', 'HERNANDEZ')",3
222,"('ACEVEDO', 'HERRERA')",5
223,"('ACEVEDO', 'IBARRA')",1
224,"('ACEVEDO', 'JARA')",3
225,"('ACEVEDO', 'JIMENEZ')",3
226,"('ACEVEDO', 'LATORRE')",1
227,"('ACEVEDO', 'LAZO')",1
228,"('ACEVEDO', 'LEON')",2
229,"('ACEVEDO', 'LISBOA')",1
230,"('ACEVEDO', 'LIZANA')",2
231,"('ACEVEDO', 'LOBOS')",3
232,"('ACEVEDO', 'LOPEZ')",7
233,"('ACEVEDO', 'MACHUCA')",1
234,"('ACEVEDO', 'MADRID')",2
235,"('ACEVEDO', 'MALDONADO')",1
236,"('ACEVEDO', 'MARAMBIO')",1
237,"('ACEVEDO', 'MARDONES')",1
238,"('ACEVEDO', 'MARTINEZ')",2
239,"('ACEVEDO', 'MAURO')",1
240,"('ACEVEDO', 'MEDINA')",2
241,"('ACEVEDO', 'MENARES')",2
242,"('ACEVEDO', 'MENDOZA')",1
243,"('ACEVEDO', 'MILLA')",2
244,"('ACEVEDO', 'MIRANDA')",5
245,"('ACEVEDO', 'MONCADA')",1
246,"('ACEVEDO', 'MONTES')",1
247,"('ACEVEDO', 'MORALES')",5
248,"('ACEVEDO', 'MORENO')",1
249,"('ACEVEDO', 'MOYA')",1
250,"('ACEVEDO', 'MOYANO')",2
251,"('ACEVEDO', 'MURILLO')",4
252,"('ACEVEDO', 'NAVARRO')",4
253,"('ACEVEDO', 'OLEA')",2
254,"('ACEVEDO', 'ORELLANA')",3
255,"('ACEVEDO', 'OSORIO')",2
256,"('ACEVEDO', 'PACHECO')",1
