,names,n
144,"('ACUNA', 'GODOY')",1
145,"('ACUNA', 'HERNANDEZ')",1
146,"('ACUNA', 'IDE')",2
147,"('ACUNA', 'KEITH')",1
148,"('ACUNA', 'LARA')",1
149,"('ACUNA', 'MANSILLA')",1
150,"('ACUNA', 'MEDINA')",1
151,"('ACUNA', 'MEIER')",2
152,"('ACUNA', 'MELEHUECHUN')",1
153,"('ACUNA', 'MERCIER')",1
154,"('ACUNA', 'MONSALVE')",1
155,"('ACUNA', 'OLIVA')",1
156,"('ACUNA', 'OLIVARES')",1
157,"('ACUNA', 'PORTALES')",1
158,"('ACUNA', 'RAMIREZ')",2
159,"('ACUNA', 'SUBIABRE')",1
160,"('ACUNA', 'TORRES')",3
161,"('ACUNA', 'VARGAS')",1
162,"('ACUNA', 'VILLAGRA')",1
163,"('ACUNA', 'YANEZ')",2
164,"('ACURIO', 'ULLOA')",1
165,"('ADAROS', 'OYARZUN')",1
166,"('ADASME', 'MERELLO')",2
167,"('ADASME', 'NUNEZ')",1
168,"('ADDISONSMITH', 'HIDALGO')",1
169,"('ADEL', 'SAEZ')",1
170,"('ADIO', 'MAYORGA')",1
171,"('ADIO', 'OLATE')",1
172,"('ADIO', 'REYES')",1
173,"('ADONES', 'OLIDEN')",2
174,"('ADRIAN', 'ALARCON')",1
175,"('ADRIAN', 'ARAYA')",1
176,"('ADRIANA BELE', 'AVENDANO')",1
177,"('ADRIANO', 'ARAVENA')",1
178,"('ADRIANO', 'GODOY')",1
179,"('ADRIANO', 'SANDOVAL')",1
180,"('ADRIAZOLA', 'ADRIAZOLA')",3
181,"('ADRIAZOLA', 'DE LA MAZA')",1
182,"('ADRIAZOLA', 'GALLEGOS')",1
183,"('ADRIAZOLA', 'ROSAS')",2
184,"('ADRIAZOLA', 'SOTO')",2
185,"('AEDO', 'CARCAMO')",1
186,"('AEDO', 'CARRASCO')",2
187,"('AEDO', 'CURAQUEO')",3
188,"('AEDO', 'HENRIQUEZ')",1
189,"('AEDO', 'MARTINEZ')",1
190,"('AEDO', 'MORENO')",1
191,"('AEDO', 'MUNOZ')",1
192,"('AEDO', 'OVANDO')",1
193,"('AEDO', 'PACHECO')",1
194,"('AEDO', 'PERALTA')",2
195,"('AEDO', 'RIVERA')",2
196,"('AEDO', 'ROBLES')",1
197,"('AEDO', 'SANTANA')",1
198,"('AEDO', 'URRUTIA')",4
199,"('AEDO', 'VELASQUEZ')",1
200,"('AGELVIS', 'MANRIQUE')",2
201,"('AGERO', 'ALVARADO')",1
202,"('AGERO', 'ALVAREZ')",3
203,"('AGERO', 'DIAZ')",1
204,"('AGERO', 'LEVICAN')",1
205,"('AGERO', 'ORMERO')",1
206,"('AGERO', 'PAILLAN')",1
207,"('AGERO', 'URIBE')",1
208,"('AGERO', 'VASQUEZ')",2
209,"('AGUAS', 'ASENJO')",2
210,"('AGUAS', 'DEUMACAN')",1
211,"('AGUAS', 'GALLEGOS')",1
212,"('AGUAS', 'RODRIGUEZ')",1
213,"('AGUAYO', 'AGUAYO')",2
214,"('AGUAYO', 'ALVAREZ')",1
215,"('AGUAYO', 'ARELLANO')",1
216,"('AGUAYO', 'ARRIAGADA')",2
217,"('AGUAYO', 'BAHAMONDE')",3
218,"('AGUAYO', 'BARRERA')",2
219,"('AGUAYO', 'BARRIA')",1
220,"('AGUAYO', 'BEROIZ')",1
221,"('AGUAYO', 'CASTRO')",1
222,"('AGUAYO', 'COFRE')",4
223,"('AGUAYO', 'CONDEZA')",1
224,"('AGUAYO', 'DIAZ')",1
225,"('AGUAYO', 'GOMEZ')",4
226,"('AGUAYO', 'HIDALGO')",1
227,"('AGUAYO', 'HORMAZABAL')",1
228,"('AGUAYO', 'OJEDA')",2
229,"('AGUAYO', 'SAGREDO')",1
230,"('AGUAYO', 'SANTANA')",2
231,"('AGUAYO', 'SILVA')",2
232,"('AGUAYO', 'SUAREZ')",1
233,"('AGUAYO', 'TRECANAO')",1
234,"('AGUAYO', 'ULLOA')",1
235,"('AGUERO', 'AGUERO')",6
236,"('AGUERO', 'AGUILAR')",1
237,"('AGUERO', 'AGUILERA')",1
238,"('AGUERO', 'ALARCON')",2
239,"('AGUERO', 'ALMONACID')",3
240,"('AGUERO', 'ALVARADO')",1
241,"('AGUERO', 'ANDRADE')",1
242,"('AGUERO', 'ARAYA')",2
243,"('AGUERO', 'ARGEL')",2
244,"('AGUERO', 'AVENDANO')",3
245,"('AGUERO', 'BARRIA')",4
246,"('AGUERO', 'BARRIENTOS')",5
247,"('AGUERO', 'BUCHHORST')",1
248,"('AGUERO', 'BUSTAMANTE')",5
249,"('AGUERO', 'DIAZ')",2
250,"('AGUERO', 'ESCALONA')",1
251,"('AGUERO', 'GALINDO')",1
252,"('AGUERO', 'GALLARDO')",1
253,"('AGUERO', 'GARRIDO')",2
254,"('AGUERO', 'GODOY')",1
255,"('AGUERO', 'GOMEZ')",3
256,"('AGUERO', 'GUERRERO')",4
257,"('AGUERO', 'HUENCHUR')",1
258,"('AGUERO', 'IGNAO')",1
259,"('AGUERO', 'JARA')",1
260,"('AGUERO', 'LEVICAN')",1
261,"('AGUERO', 'MALDONADO')",1
262,"('AGUERO', 'MANCILLA')",2
263,"('AGUERO', 'MIRANDA')",2
264,"('AGUERO', 'MOLINA')",2
